14-08-2023 11:42:22, 'player1': 0, 'player2': 0, 'tie': 1;
14-08-2023 11:42:25, 'player1': 0, 'player2': 1, 'tie': 1;
14-08-2023 11:42:26, 'player1': 1, 'player2': 1, 'tie': 1;
